tnt,effect_class,fuse_declared,method,baseline_avg_mspt,peak_avg_mspt,peak_p99_mspt,mean_avg_mspt,worst_wall_ms_per_tick,ticks_observed,wall_seconds,peak_entities,fell_behind
nuclear_waste_tnt,NuclearWasteTNTEffect,80,block+redstone,1.489,1.9,11.1,1.474,51.0,230,11.47,4,0
meteor_shower,MeteorShowerEffect,720,block+redstone,1.689,2.5,10.5,1.872,58.4,1037,51.85,114,0
lightning_storm,LightningStormEffect,160,block+redstone,1.167,1.5,10.4,1.122,51.7,306,15.35,69,0
squaring_tnt,SquaringTNTEffect,80,block+redstone,0.978,1.1,10.2,0.932,51.8,226,11.28,7,0
christmas_tnt,StackedPrimedTNTEffect,80,block+redstone,1.244,1.5,10.1,1.133,51.2,226,11.28,8,0
replay_tnt,?,80,block+redstone,1.322,1.5,9.7,1.325,51.9,399,19.93,4,0
unbreakable_tnt,UnbreakableTNTEffect,80,block+redstone,1.356,1.4,9.5,1.26,53.4,226,11.29,4,0
heat_death,DisasterTNTEffect,80,block+redstone,1.056,0.9,8.8,0.869,51.9,229,11.48,4,0
helix,HelixEffect,140,block+redstone,1.011,1.4,8.7,1.007,57.9,286,14.34,109,0
tnt_x5,TNTXStrengthEffect,120,block+redstone,1.178,1.2,8.5,1.134,50.9,266,13.29,4,0
farming_tnt,FarmingTNTEffect,80,block+redstone,1.156,1.3,8.4,1.176,54.8,229,11.49,4,0
acidic_tnt,AcidicTNTEffect,80,block+redstone,0.911,2.8,6.9,1.441,51.3,398,19.93,73,0
fire_tnt,FireTNTEffect,80,block+redstone,1.511,1.3,6.5,1.169,50.6,229,11.47,4,0
ring_tnt,RingTNTEffect,80,block+redstone,1.289,1.4,6.3,1.228,54.8,226,11.3,15,0
hexahedron,HexahedronEffect,140,block+redstone,0.889,0.9,6.2,0.86,53.7,286,14.32,4,0
bouncing_tnt,BouncingTNTEffect,100000,block+redstone,1.189,1.2,6.1,1.143,50.9,1217,60.82,4,0
eating_tnt,EatingTNTEffect,400,block+redstone,1.1,1.2,6.1,1.107,51.3,719,35.92,4,0
toxic_cloud,ToxicCloudEffect,1200,summon,0.967,1.3,5.8,1.07,52.4,1217,60.85,4,0
tunneling_tnt,TunnelingTNTEffect,80,block+redstone,1.078,1.0,5.8,0.914,52.1,227,11.32,4,0
random_tnt,RandomTNTEffect,120,block+redstone,1.233,1.2,5.6,1.078,50.5,269,13.49,4,0
knockback_tnt,KnockbackTNTEffect,300,block+redstone,1.067,1.3,4.6,1.127,52.0,617,30.83,4,0
multiplying_tnt,MultiplyingTNTEffect,80,block+redstone,1.478,1.3,3.9,1.217,50.5,229,11.47,20,0
vaporize_tnt,VaporizeTNTEffect,80,block+redstone,1.267,1.3,3.6,1.219,59.0,226,11.33,4,0
tnt_rain,DisasterTNTEffect,80,block+redstone,1.4,1.2,3.6,1.179,53.4,229,11.49,4,0
redstone_tnt,RedstoneTNTEffect,80,block+redstone,0.911,0.9,3.4,0.84,50.4,229,11.47,3,0
flat_tnt,FlatTNTEffect,80,block+redstone,1.222,1.3,3.4,1.167,58.4,227,11.34,4,0
ice_age,DisasterTNTEffect,80,block+redstone,1.2,1.2,3.2,1.09,51.9,230,11.5,4,0
lightning_tnt,LightningTNTEffect,200,block+redstone,0.922,1.5,3.1,1.115,50.7,347,17.34,21,0
kola_borehole_tnt,KolaBoreholeTNTEffect,200,block+redstone,1.089,1.1,3.0,1.069,54.2,516,25.79,4,0
mimic_tnt,MimicTNTEffect,20000,block+redstone,1.033,1.2,2.5,1.03,50.8,1217,60.83,4,0
static_tnt,StackedPrimedTNTEffect,80,block+redstone,1.2,1.2,2.3,1.114,51.4,226,11.27,4,0
drilling_tnt,DrillingTNTEffect,80,block+redstone,1.3,1.1,2.2,1.069,53.5,230,11.49,4,0
cannon_tnt,CannonTNTEffect,600,block+redstone,1.289,1.2,2.1,1.105,56.3,919,45.94,4,0
gravity_tnt,GravityTNTEffect,300,block+redstone,1.344,1.2,2.1,1.133,51.2,616,30.79,4,0
prism_tnt,PrismTNTEffect,80,block+redstone,1.644,1.0,2.1,0.874,50.5,226,11.3,4,0
disaster_clearer,DisasterTNTEffect,80,block+redstone,1.289,1.3,1.9,1.245,50.7,230,11.49,4,0
tnt,TNTXStrengthEffect,80,block+redstone,0.989,0.9,1.8,0.853,51.5,229,11.48,4,0
digging_tnt,DiggingTNTEffect,80,block+redstone,0.889,0.9,1.8,0.829,50.4,230,11.47,4,0
say_goodbye,SayGoodbyeEffect,80,block+redstone,1.189,1.2,1.8,1.147,52.8,227,11.3,4,0
smoke_tnt,SmokeTNTEffect,520,block+redstone,1.2,1.2,1.7,1.088,50.5,837,41.86,4,0
turret_tnt,TurretTNTEffect,400,block+redstone,1.144,1.2,1.6,1.115,54.5,717,35.84,4,0
custom_tnt,CustomTNTEffect,80,block+redstone,0.933,0.9,1.5,0.805,58.3,226,11.3,4,0
